iter	Passed	Remaining
0	3	1112
1	8	1232
2	11	1161
3	15	1122
4	18	1097
5	23	1135
6	26	1128
7	30	1120
8	34	1102
9	38	1116
10	41	1102
11	45	1089
12	48	1078
13	52	1072
14	56	1079
15	60	1070
16	63	1061
17	67	1053
18	72	1065
19	75	1057
20	79	1052
21	83	1052
22	88	1059
23	91	1055
24	95	1047
25	98	1041
26	103	1048
27	107	1040
28	110	1033
29	114	1032
30	119	1037
31	123	1030
32	126	1024
33	130	1020
34	135	1022
35	138	1016
36	142	1010
37	145	1004
38	150	1003
39	153	997
40	156	991
41	160	985
42	164	983
43	168	978
44	171	973
45	175	967
46	178	962
47	183	962
48	187	960
49	191	955
50	194	949
51	203	970
52	206	964
53	210	959
54	215	957
55	218	951
56	221	946
57	225	940
58	230	939
59	233	934
60	237	928
61	240	923
62	244	919
63	248	915
64	251	910
65	255	905
66	259	900
67	263	897
68	266	893
69	270	887
70	273	882
71	278	880
72	281	876
73	286	873
74	289	868
75	294	867
76	297	862
77	301	857
78	304	852
79	308	849
80	312	844
81	315	839
82	319	834
83	322	830
84	326	826
85	330	821
86	333	816
87	337	812
88	341	810
89	345	805
90	348	800
91	352	796
92	356	793
93	360	789
94	363	784
95	367	780
96	371	778
97	376	775
98	379	771
99	384	768
100	390	769
101	394	766
102	399	764
103	405	764
104	410	761
105	415	759
106	420	758
107	424	754
108	429	752
109	433	748
110	438	747
111	443	744
112	447	741
113	453	740
114	459	739
115	465	737
116	471	736
117	475	733
118	479	730
119	485	728
120	489	724
121	493	719
122	496	714
123	501	711
124	504	706
125	508	702
126	511	697
127	516	693
128	519	688
129	523	684
130	526	679
131	530	675
132	534	671
133	538	666
134	541	661
135	545	657
136	550	655
137	554	650
138	558	646
139	562	642
140	566	639
141	570	634
142	574	630
143	580	628
144	583	624
145	587	619
146	590	614
147	594	610
148	598	606
149	601	601
150	605	597
151	608	592
152	613	589
153	616	584
154	620	580
155	624	576
156	628	572
157	632	568
158	636	564
159	639	559
160	644	556
161	647	551
162	651	547
163	654	542
164	658	539
165	662	534
166	665	530
167	669	526
168	673	521
169	677	517
170	680	513
171	684	509
172	687	504
173	692	501
174	695	496
175	699	492
176	702	488
177	707	484
178	710	480
179	714	476
180	717	471
181	721	467
182	725	463
183	728	459
184	732	455
185	735	450
186	739	447
187	743	442
188	746	438
189	750	434
190	754	430
191	758	426
192	761	422
193	765	418
194	769	414
195	772	410
196	776	405
197	779	401
198	783	397
199	787	393
200	791	389
201	794	385
202	798	381
203	802	377
204	805	373
205	809	369
206	812	365
207	816	361
208	820	357
209	823	353
210	827	349
211	831	345
212	835	341
213	839	337
214	842	333
215	846	329
216	850	325
217	854	321
218	857	317
219	861	313
220	866	309
221	870	305
222	875	302
223	878	298
224	883	294
225	887	290
226	891	286
227	896	283
228	901	279
229	905	275
230	909	271
231	915	268
232	919	264
233	924	260
234	928	256
235	933	253
236	937	249
237	941	245
238	946	241
239	950	237
240	953	233
241	957	229
242	961	225
243	965	221
244	969	217
245	972	213
246	977	209
247	980	205
248	984	201
249	987	197
250	992	193
251	995	189
252	999	185
253	1002	181
254	1006	177
255	1010	173
256	1013	169
257	1017	165
258	1020	161
259	1025	157
260	1028	153
261	1032	149
262	1035	145
263	1039	141
264	1042	137
265	1046	133
266	1050	129
267	1054	125
268	1057	121
269	1061	117
270	1065	114
271	1070	110
272	1073	106
273	1077	102
274	1080	98
275	1085	94
276	1089	90
277	1092	86
278	1096	82
279	1100	78
280	1104	74
281	1108	70
282	1111	66
283	1116	62
284	1119	58
285	1123	54
286	1126	51
287	1131	47
288	1134	43
289	1138	39
290	1141	35
291	1144	31
292	1149	27
293	1152	23
294	1156	19
295	1160	15
296	1164	11
297	1168	7
298	1171	3
299	1175	0
